Date,Close-Stock-1,Close-Stock-2,Close-Stock-3,Close-Stock-4,Close-Stock-5
2011-08-04,2549.6772857142987,2549.6772857142987,2196.703825612704,2554.416491268014,2555.4846535753427
2011-08-05,2305.2115499177653,2305.2115499177653,2135.963441186415,2556.918971605751,2554.727083353246
2011-08-08,2256.1251072623727,2256.1251072623727,2191.9073338727917,2557.5976558139514,2555.4846535753427
2011-08-09,2097.5421938243444,2097.5421938243444,2270.6060082494964,2559.354682055642,2553.365179161722
2011-08-10,2505.1311523579934,2505.1311523579934,2406.790077252904,2556.8378265188326,2557.5059620433976
2011-08-11,2549.365325846667,2549.365325846667,2391.7625853679738,2557.951182292306,2557.5059620433976
2011-08-12,2337.0610270261595,2337.0610270261595,2524.3289280224044,2557.2703786890766,2553.4586947265234
2011-08-16,2208.5472094393017,2208.5472094393017,2557.5976558139514,2556.0504512056214,2549.4446386540667
2011-08-17,2234.8067677827917,2234.8067677827917,2555.4636063120042,2556.101710202926,2556.918971605751
2011-08-18,2255.7018082931295,2255.7018082931295,2535.769901364863,2369.069899699319,2404.238256812737
2011-08-19,2021.6121165681477,2021.6121165681477,2439.4171508746585,2171.0432250834265,2191.3266265010648
2011-08-22,2041.79086223246,2041.79086223246,2551.5689220351946,2186.665646328963,2104.4147363752168
2011-08-23,1992.0896067247977,1992.0896067247977,2554.781157941461,2231.7160600155153,2228.07396114248
2011-08-24,2058.490789993738,2058.490789993738,2550.6350822557893,2235.449111590858,2237.8150013067097
2011-08-25,1873.4778142952407,1873.4778142952407,2556.713457352353,2151.7539462082927,2020.4213180273111
2011-08-26,1857.6165283793864,1857.6165283793864,2557.5976558139514,2097.5748813467294,1953.0734333180292
2011-08-29,1920.5365112287009,1920.5365112287009,2556.918971605751,2236.2260659438703,2050.055733097204
2011-08-30,2239.8732936310657,2239.8732936310657,2556.918971605751,2349.790037368704,2193.005139032618
2011-09-02,2400.311028854115,2400.311028854115,2553.365179161722,2432.0782709717623,2191.654100143899
2011-09-05,2269.76331693102,2269.76331693102,2557.2703786890766,2368.9891450498612,2299.669739670352
2011-09-06,2281.908516351807,2281.908516351807,2557.2703786890766,2327.3640155532958,2405.045598771608
2011-09-07,2551.9999259811193,2551.9999259811193,2556.918971605751,2494.0552918238736,2532.3567633221496
2011-09-08,2554.416491268014,2554.416491268014,2452.984366023976,2532.508117889084,2512.803052883704
2011-09-09,2523.070932739032,2523.070932739032,2487.8142238538276,2535.689275658402,2420.5924039385654
2011-09-12,2245.8709798282575,2245.8709798282575,2446.5178678919347,2304.5869370670785,2172.5044392596415
2011-09-13,2321.1661430938134,2321.1661430938134,2431.249680889706,2284.20790743824,2144.016700959634
2011-09-14,2374.824137693582,2374.824137693582,2316.210147515793,2251.4769505732,2185.776393386719
2011-09-15,2539.3561358314296,2539.3561358314296,2289.3241682141465,2304.3173194861547,2284.593561685065
2011-09-16,2557.5976558139514,2557.5976558139514,2191.3719393618253,2399.936534283015,2434.922252515141
2011-09-19,2555.247131878905,2555.247131878905,2097.4482287630376,2306.1887807435105,2354.747846127626
2011-09-20,2557.5976558139514,2557.5976558139514,2202.9504320190053,2356.832827838312,2444.242346778407
2011-09-21,2556.918971605751,2556.918971605751,2229.892067268002,2478.7880138645855,2512.803052883704
2011-09-22,2495.278661550235,2495.278661550235,2251.2187960024335,2349.156862869235,2411.8192983295385
2011-09-23,2099.1811433069847,2099.1811433069847,2287.2735425710694,2236.2260659438703,2280.3951047019314
2011-09-26,1850.786055779855,1850.786055779855,2193.2795965999194,2240.408162349711,2131.12485914318
2011-09-27,2046.0648427617518,2046.0648427617518,2231.335771220915,2428.488417409354,2234.3951822113672
2011-09-28,2079.9309476328435,2079.9309476328435,2292.675514765374,2351.2265315217724,2231.190116931867
2011-09-29,2293.959445626967,2293.959445626967,2364.677432253742,2386.8904188338965,2190.056533089833
2011-09-30,2297.0178928453406,2297.0178928453406,2343.2564902159424,2386.0149319124343,2027.5799077939012
2011-10-03,2055.308252381042,2055.308252381042,2278.6398799402073,2193.2792091936835,1867.7452058965787
2011-10-04,1875.1836791763467,1875.1836791763467,2305.673191725422,2041.527647410149,1825.425359771167
2011-10-05,1859.3536411458906,1859.3536411458906,2102.878555756425,1858.2411438693562,1856.1145249677168
2011-10-07,1961.7099734928922,1961.7099734928922,2232.62726125769,2097.9569975203854,1970.7425720044405
2011-10-10,1956.824145710366,1956.824145710366,2393.938322605024,2150.771089082928,2049.6288720998236
2011-10-11,2114.2615591914528,2114.2615591914528,2432.442779107729,2198.771228628038,2146.2194461963686
2011-10-12,2135.4981310922863,2135.4981310922863,2437.2217179608824,2234.370595283463,2187.552280303039
2011-10-13,2383.126753673092,2383.126753673092,2431.2523355060066,2390.797471222332,2272.6885039880876
2011-10-14,2350.047233933322,2350.047233933322,2308.9845367262483,2437.059721720196,2300.619116568182
2011-10-17,2480.850487769276,2480.850487769276,2363.298782732668,2469.4311848477964,2414.460523424148
2011-10-18,2437.7167964805776,2437.7167964805776,2270.564178447297,2366.369987904956,2269.76331693102
2011-10-19,2556.101710202926,2556.101710202926,2269.1140875400038,2491.6875834246157,2427.5914428947494
2011-10-20,2557.5976558139514,2557.5976558139514,2350.6808936301136,2371.237517294041,2387.7664200360373
2011-10-21,2554.7925521294655,2554.7925521294655,2205.202349238738,2369.8676694757046,2433.744159426712
2011-10-24,2558.0764100544407,2558.0764100544407,2092.54763951346,2392.7681078490446,2560.9865897757877
2011-10-25,2147.464286273649,2147.464286273649,2131.888144474558,2328.3661393308203,2481.9525606357192
2011-10-26,2354.733143812618,2354.733143812618,2188.358052000683,2354.42389841296,2431.546173777792
2011-10-28,2556.101710202926,2556.101710202926,2177.372804599414,2563.226783197176,2553.365179161722
2011-10-31,2556.918971605751,2556.918971605751,2359.1245892985116,2556.101710202926,2543.1912476372836
2011-11-01,2556.918971605751,2556.918971605751,2349.1477742161564,2518.8619536527003,2489.910240816259
2011-11-02,2560.5707004524347,2560.5707004524347,2353.0211434647167,2438.402396856521,2436.2138051371244
2011-11-03,2493.598085894746,2493.598085894746,2380.217595721873,2389.019950285576,2376.7300356543687
2011-11-04,2548.8318098320665,2548.8318098320665,2540.1356620024085,2420.3677141282574,2446.9337775297636
2011-11-08,2556.0504512056214,2556.0504512056214,2492.8816852117247,2380.148445822569,2490.449346167861
2011-11-09,2548.1518762371284,2548.1518762371284,2367.7926365376666,2382.22752865849,2443.632292536239
2011-11-11,2312.473846836165,2312.473846836165,2278.646289279207,2112.9181416519823,2222.1815019252767
2011-11-14,2443.0738849027384,2443.0738849027384,2272.476671169449,2097.593372958251,2173.3150266763723
2011-11-15,2397.6443835260743,2397.6443835260743,2184.2492388193405,1999.5139101439447,2029.6946501671218
2011-11-16,2264.737000454021,2264.737000454021,2125.646925406466,1914.5578074171199,1912.6371055562233
2011-11-17,2152.606423747554,2152.606423747554,2129.895288992692,1901.8398565446316,1877.6472196343036
2011-11-18,1999.8465971368073,1999.8465971368073,2173.2913075096308,1857.5337811846,1822.900409856777
2011-11-21,1854.8310881046739,1854.8310881046739,1986.251503961633,1858.0041123937265,1857.3762174055523
2011-11-22,1856.0674293145223,1856.0674293145223,1893.5405634882052,1857.5569176685094,1824.063455579643
2011-11-23,1824.4315558211433,1824.4315558211433,1858.6966125911397,1858.6966125911397,1857.5337811846
2011-11-24,1822.900409856777,1822.900409856777,1817.0851444922314,1857.5337811846,1823.8096519716753
2011-11-25,1858.6966125911397,1858.6966125911397,1860.7892268356454,1858.0041123937265,1853.1951325471846
2011-11-28,1857.3762174055523,1857.3762174055523,1944.1101859183223,1857.5337811846,1853.3585616363416
2011-11-29,1857.5337811846,1857.5337811846,1879.2937081563325,1824.4315558211433,1859.1693180997809
2011-11-30,1822.900409856777,1822.900409856777,1823.8096519716753,1818.1237529064274,1859.0400597714372
2011-12-01,2036.255975961726,2036.255975961726,1856.930033881431,1822.900409856777,1859.0400597714372
2011-12-02,2152.9594101507205,2152.9594101507205,1855.1571327393103,1827.3109699746701,1873.71801447444
